"titles","links","doi","date_published","citations","cran","bioconductor","repo_link","package_install","package_name"
"ggtree: an r package for visualization and annotation of phylogenetic trees with their covariates and other associated data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12628","2041-210X.12628","2016-08-16",448,FALSE,TRUE,NA,FALSE,"ggtree"
"codyn: An r package of community dynamics metrics","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12569","2041-210X.12569","2016-04-02",114,TRUE,FALSE,"https://github.com/laurenmh/codyn",FALSE,"codyn"
"letsR: a new R package for data handling and analysis in macroecology","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12401","2041-210X.12401","2015-05-02",106,TRUE,FALSE,"https://github.com/macroecology/letsR",FALSE,"letsR"
"IPMpack: an R package for integral projection models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210x.12001","2041-210x.12001","2012-12-10",69,FALSE,FALSE,NA,FALSE,"IPMpack"
"warbleR: an r package to streamline analysis of animal acoustic signals","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12624","2041-210X.12624","2016-08-17",88,TRUE,FALSE,"https://github.com/maRce10/warbleR",TRUE,"warbleR"
"TR8: an R package for easily retrieving plant species traits","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12327","2041-210X.12327","2014-12-12",32,TRUE,FALSE,"https://github.com/GioBo/TR8",TRUE,"TR8"
"diveRsity: An R package for the estimation and exploration of population genetics parameters and their associated errors","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12067","2041-210X.12067","2013-05-11",788,TRUE,FALSE,NA,TRUE,"diveRsity"
"enaR: An r package for Ecosystem Network Analysis","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12282","2041-210X.12282","2014-10-28",85,TRUE,FALSE,"https://github.com/TheSeeLab/enaR",FALSE,"enaR"
"mvmorph: an r package for fitting multivariate evolutionary models to morphometric data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12420","2041-210X.12420","2015-06-11",202,TRUE,FALSE,"https://github.com/JClavel/mvMORPH",FALSE,"mvmorph"
"RInSp: an r package for the analysis of individual specialization in resource use","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12079","2041-210X.12079","2013-06-14",126,TRUE,FALSE,"https://github.com/Nicola-Zaccarelli/RInSp",FALSE,"RInSp"
"TropFishR: an R package for fisheries analysis with length-frequency data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12791","2041-210X.12791","2017-04-12",89,FALSE,FALSE,"https://github.com/tokami/TropFishR/releases/tag/v1.1.3",FALSE,"TropFishR"
"iNEXT: an R package for rarefaction and extrapolation of species diversity (Hill numbers)","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12613","2041-210X.12613","2016-06-28",1476,TRUE,FALSE,"https://github.com/JohnsonHsieh/iNextPD",FALSE,"iNEXT"
"BarcodingR: an integrated r package for species identification using DNA barcodes","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12682","2041-210X.12682","2016-10-14",30,TRUE,FALSE,"https://github.com/zhangab2008/BarcodingR",FALSE,"BarcodingR"
"moveHMM: an R package for the statistical modelling of animal movement data using hidden Markov models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12578","2041-210X.12578","2016-04-21",187,TRUE,FALSE,"https://github.com/TheoMichelot/moveHMM",FALSE,"moveHMM"
"biomass: an r package for estimating above-ground biomass and its uncertainty in tropical forests","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12753","2041-210X.12753","2017-02-03",169,TRUE,FALSE,NA,TRUE,"biomass"
"geomorph: an r package for the collection and analysis of geometric morphometric shape data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12035","2041-210X.12035","2013-01-25",1284,TRUE,FALSE,NA,FALSE,"geomorph"
"inbreedR: an R package for the analysis of inbreeding based on genetic markers","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12588","2041-210X.12588","2016-05-20",107,TRUE,FALSE,NA,FALSE,"inbreedR"
"frair: an R package for fitting and comparing consumer functional responses","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12784","2041-210X.12784","2017-04-04",125,TRUE,FALSE,"https://github.com/dpritchard/frair",FALSE,"frair"
"SIMR: an R package for power analysis of generalized linear mixed models by simulation","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12504","2041-210X.12504","2015-11-17",763,TRUE,FALSE,NA,FALSE,"SIMR"
"LEA: An R package for landscape and ecological association studies","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12382","2041-210X.12382","2015-04-02",572,FALSE,TRUE,NA,TRUE,"LEA"
"vortexR: an R package for post Vortex simulation analysis","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12786","2041-210X.12786","2017-04-04",12,TRUE,FALSE,"https://github.com/carlopacioni/vortexR",FALSE,"vortexR"
"BAT – Biodiversity Assessment Tools, an R package for the measurement and estimation of alpha and beta taxon, phylogenetic and functional diversity","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12310","2041-210X.12310","2014-11-16",179,TRUE,FALSE,NA,FALSE,NA
"meteR: an r package for testing the maximum entropy theory of ecology","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12625","2041-210X.12625","2016-08-17",9,TRUE,FALSE,NA,FALSE,"meteR"
"camtrapR: an R package for efficient camera trap data management","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12600","2041-210X.12600","2016-06-03",162,TRUE,FALSE,NA,FALSE,"camtrapR"
"BAMMtools: an R package for the analysis of evolutionary dynamics on phylogenetic trees","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12199","2041-210X.12199","2014-04-22",512,TRUE,FALSE,"http://github.com/macroevolution/bammtools",FALSE,"BAMMtools"
"PrimerMiner: an r package for development and in silico validation of DNA metabarcoding primers","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12687","2041-210X.12687","2016-10-18",57,TRUE,FALSE,"https://github.com/VascoElbrecht/PrimerMiner",TRUE,"PrimerMiner"
"FLightR: an r package for reconstructing animal paths from solar geolocation loggers","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12765","2041-210X.12765","2017-03-10",50,TRUE,FALSE,"https://github.com/eldarrak/FLightR#readme",FALSE,"FLightR"
"BiMat: a MATLAB package to facilitate the analysis of bipartite networks","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12458","2041-210X.12458","2015-09-13",34,FALSE,FALSE,NA,FALSE,"BiMat"
"mizer: an R package for multispecies, trait-based and community size spectrum ecological modelling","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12256","2041-210X.12256","2014-08-28",65,TRUE,FALSE,"https://github.com/drfinlayscott/mizer",FALSE,"mizer"
"rotl: an R package to interact with the Open Tree of Life data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12593","2041-210X.12593","2016-05-27",166,TRUE,FALSE,"https://github.com/OpenTreeOfLife/phylesystem-api/wiki/NexSON",FALSE,"rotl"
"StereoMorph: an R package for the collection of 3D landmarks and curves using a stereo camera set-up","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12326","2041-210X.12326","2014-12-10",68,TRUE,FALSE,"http://github.com/aaronolsen/StereoMorph",FALSE,"StereoMorph"
"ctmm: an r package for analyzing animal relocation data as a continuous-time stochastic process","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12559","2041-210X.12559","2016-03-22",208,FALSE,FALSE,NA,FALSE,"ctmm"
"marked: an R package for maximum likelihood and Markov Chain Monte Carlo analysis of capture–recapture data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12065","2041-210X.12065","2013-04-30",67,TRUE,FALSE,NA,FALSE,"marked"
"pavo: an R package for the analysis, visualization and organization of spectral data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12069","2041-210X.12069","2013-05-22",216,TRUE,FALSE,"(https://github.com/rmaia/pavo",FALSE,"pavo"
"CMRnet: An r package to derive networks of social interactions and movement from mark–recapture data","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.13502","2041-210X.13502","2020-10-08",2,FALSE,FALSE,"https://github.com/matthewsilk/CMRnet",FALSE,"CMRnet"
"nupoint: An R package for density estimation from point transects in the presence of nonuniform animal density","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12058","2041-210X.12058","2013-04-01",8,FALSE,FALSE,NA,FALSE,"nupoint"
"RClone: a package to identify MultiLocus Clonal Lineages and handle clonal data sets in r.","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12550","2041-210X.12550","2016-02-15",67,TRUE,FALSE,"https://github.com/dbailleul/RClone",FALSE,"RClone"
"ENMeval: An R package for conducting spatially independent evaluations and estimating optimal model complexity for Maxent ecological niche models","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12261","2041-210X.12261","2014-09-03",869,TRUE,FALSE,NA,FALSE,"ENMeval"
"RPANDA: an R package for macroevolutionary analyses on phylogenetic trees","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12526","2041-210X.12526","2015-12-15",153,TRUE,FALSE,"https://github.com/hmorlon/PANDA",TRUE,"RPANDA"
"Facilitating systematic reviews, data extraction and meta-analysis with the metagear package for r","https://besjournals.onlinelibrary.wiley.com/doi/10.1111/2041-210X.12472","2041-210X.12472","2015-09-05",104,TRUE,FALSE,"https://github.com/cran/metagear",FALSE,NA
